BIASTAR
50
0, 0
49, 49
470, 155, 501, 879, 742, 79, 108, 653, 353, 375, 25, 753, 623, 844, 809, 526, 45, 58, 743, 196, 208, 456, 992, 576, 53, 722, 573, 348, 168, 424, 911, 893, 77, 565, 871, 991, 552, 171, 832, 550, 787, 46, 553, 312, 84, 17, 454, 223, 587, 962
193, 402, 420, 332, 577, 130, 305, 618, 816, 113, 356, 579, 171, 299, 662, 778, 242, 843, 935, 516, 762, 26, 559, 359, 85, 816, 17, 428, 713, 738, 201, 561, 333, 192, 187, 503, 322, 678, 996, 271, 192, 879, 528, 891, 320, 187, 567, 122, 855, 816
777, 821, 971, 781, 341, 171, 919, 167, 732, 553, 69, 942, 619, 320, 641, 481, 173, 702, 96, 287, 938, 583, 685, 95, 896, 133, 748, 840, 56, 718, 390, 76, 395, 9, 877, 26, 417, 856, 937, 661, 636, 710, 586, 894, 435, 129, 191, 268, 453, 335
128, 923, 877, 965, 321, 524, 324, 87, 60, 340, 491, 735, 508, 533, 746, 205, 466, 128, 565, 893, 435, 629, 95, 975, 687, 864, 288, 880, 132, 871, 315, 551, 886, 569, 705, 94, 238, 923, 458, 422, 603, 435, 812, 630, 432, 977, 817, 808, 627, 103
254, 223, 947, 472, 742, 396, 117, 634, 975, 539, 979, 285, 869, 866, 948, 711, 236, 877, 824, 80, 386, 465, 413, 395, 438, 634, 842, 162, 236, 240, 62, 230, 511, 781, 616, 741, 641, 224, 32, 888, 585, 854, 934, 245, 453, 810, 908, 325, 594, 198
239, 417, 766, 850, 45, 407, 957, 453, 697, 47, 193, 403, 264, 778, 776, 498, 311, 194, 208, 670, 498, 740, 110, 749, 330, 977, 623, 929, 451, 591, 137, 436, 308, 482, 669, 946, 160, 419, 236, 947, 222, 390, 377, 860, 869, 336, 270, 886, 649, 973
796, 923, 632, 557, 658, 598, 105, 619, 606, 636, 12, 422, 195, 358, 529, 530, 573, 241, 191, 13, 760, 58, 337, 114, 323, 831, 365, 288, 239, 283, 100, 863, 604, 575, 385, 985, 892, 246, 506, 867, 949, 371, 657, 220, 822, 541, 479, 640, 220, 688
671, 179, 392, 99, 374, 454, 112, 159, 755, 603, 559, 935, 781, 470, 429, 199, 936, 191, 587, 797, 199, 175, 918, 326, 77, 48, 19, 277, 607, 469, 448, 353, 905, 788, 401, 617, 24, 95, 153, 683, 199, 174, 880, 77, 524, 576, 653, 673, 5, 503
747, 66, 999, 667, 744, 633, 892, 320, 967, 178, 249, 485, 360, 30, 580, 898, 501, 315, 765, 546, 108, 901, 268, 312, 8, 409, 170, 206, 130, 116, 230, 482, 102, 131, 622, 238, 389, 919, 658, 181, 875, 814, 645, 306, 308, 149, 475, 718, 120, 797
987, 476, 900, 243, 314, 234, 102, 252, 721, 447, 666, 640, 126, 741, 972, 201, 680, 462, 542, 944, 607, 58, 782, 617, 264, 479, 70, 484, 811, 621, 748, 972, 606, 644, 56, 462, 890, 689, 118, 990, 653, 902, 829, 220, 639, 38, 321, 536, 166, 64
725, 543, 116, 360, 156, 756, 223, 841, 963, 841, 920, 43, 690, 752, 655, 200, 522, 944, 1, 272, 240, 285, 592, 778, 246, 801, 638, 234, 495, 366, 434, 59, 924, 350, 967, 692, 652, 819, 32, 389, 992, 357, 2, 855, 725, 808, 695, 114, 500, 455
296, 404, 163, 706, 659, 139, 34, 177, 935, 870, 44, 995, 442, 38, 72, 669, 365, 760, 261, 350, 427, 890, 694, 148, 360, 906, 834, 239, 549, 881, 655, 951, 617, 771, 369, 878, 43, 676, 473, 234, 91, 926, 42, 796, 492, 112, 61, 548, 391, 155
80, 373, 756, 534, 145, 829, 790, 318, 428, 418, 10, 374, 117, 577, 437, 980, 241, 523, 786, 933, 418, 730, 183, 638, 830, 311, 698, 109, 163, 508, 154, 568, 165, 573, 571, 188, 818, 618, 473, 296, 465, 789, 694, 695, 846, 716, 110, 415, 573, 261
614, 904, 541, 764, 110, 435, 337, 48, 464, 514, 784, 176, 107, 555, 832, 891, 69, 856, 44, 562, 866, 809, 30, 205, 227, 516, 464, 99, 253, 227, 973, 326, 169, 100, 831, 597, 292, 412, 422, 340, 744, 804, 947, 196, 433, 753, 133, 465, 894, 597
323, 559, 144, 541, 944, 405, 376, 713, 335, 181, 212, 476, 207, 579, 203, 907, 385, 208, 100, 251, 373, 953, 100, 455, 924, 41, 166, 352, 650, 859, 840, 34, 646, 155, 214, 447, 530, 730, 546, 135, 495, 374, 751, 530, 850, 784, 773, 916, 402, 504
